rollout_id,task_name,task_goal,video_filename,video_path,simulator,success_label,timestamp,additional_notes,video_url
bad_incomplete_tilt,pour,Pour the contents of the cup into the target container.,bad_incomplete_tilt_agentview.mp4,data/rollouts/bad_incomplete_tilt/bad_incomplete_tilt_agentview.mp4,custom,false,2026-03-26T00:00:00Z,Insufficient tilt — would barely pour anything out.,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/bad_incomplete_tilt/bad_incomplete_tilt_agentview.mp4
bad_overshoot_tilt,pour,Pour the contents of the cup into the target container.,bad_overshoot_tilt_agentview.mp4,data/rollouts/bad_overshoot_tilt/bad_overshoot_tilt_agentview.mp4,custom,false,2026-03-26T00:00:00Z,Over-tilted — would dump everything and spill.,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/bad_overshoot_tilt/bad_overshoot_tilt_agentview.mp4
bad_shaky,pour,Pour the contents of the cup into the target container.,bad_shaky_agentview.mp4,data/rollouts/bad_shaky/bad_shaky_agentview.mp4,custom,false,2026-03-26T00:00:00Z,"Unstable, shaky trajectory throughout — poor motor control.",https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/bad_shaky/bad_shaky_agentview.mp4
bad_too_fast,pour,Pour the contents of the cup into the target container.,bad_too_fast_agentview.mp4,data/rollouts/bad_too_fast/bad_too_fast_agentview.mp4,custom,false,2026-03-26T00:00:00Z,"Rushed motion — too fast, loss of control at tilt.",https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/bad_too_fast/bad_too_fast_agentview.mp4
good_clean_medium,pour,Pour the contents of the cup into the target container.,good_clean_medium_agentview.mp4,data/rollouts/good_clean_medium/good_clean_medium_agentview.mp4,custom,true,2026-03-26T00:00:00Z,Controlled pour at medium speed. Reaches good tilt angle and completes task.,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/good_clean_medium/good_clean_medium_agentview.mp4
good_clean_slow,pour,Pour the contents of the cup into the target container.,good_clean_slow_agentview.mp4,data/rollouts/good_clean_slow/good_clean_slow_agentview.mp4,custom,true,2026-03-26T00:00:00Z,"Smooth, controlled pour at a good angle. Steady and successful.",https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/good_clean_slow/good_clean_slow_agentview.mp4
so101_episode_000000,pick_and_place,Pick up the cube and place it in the target location.,so101_episode_000000_agentview.mp4,data/rollouts/so101_episode_000000/so101_episode_000000_agentview.mp4,real_so101,true,2026-03-01T00:00:00Z,From lerobot/svla_so101_pickplace dataset,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/so101_episode_000000/so101_episode_000000_agentview.mp4
so101_episode_000001,pick_and_place,Pick up the cube and place it in the target location.,so101_episode_000001_agentview.mp4,data/rollouts/so101_episode_000001/so101_episode_000001_agentview.mp4,real_so101,true,2026-03-01T00:00:00Z,From lerobot/svla_so101_pickplace dataset,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/so101_episode_000001/so101_episode_000001_agentview.mp4
so101_episode_000002,pick_and_place,Pick up the cube and place it in the target location.,so101_episode_000002_agentview.mp4,data/rollouts/so101_episode_000002/so101_episode_000002_agentview.mp4,real_so101,true,2026-03-01T00:00:00Z,From lerobot/svla_so101_pickplace dataset,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/so101_episode_000002/so101_episode_000002_agentview.mp4
so101_episode_000003,pick_and_place,Pick up the cube and place it in the target location.,so101_episode_000003_agentview.mp4,data/rollouts/so101_episode_000003/so101_episode_000003_agentview.mp4,real_so101,true,2026-03-01T00:00:00Z,From lerobot/svla_so101_pickplace dataset,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/so101_episode_000003/so101_episode_000003_agentview.mp4
so101_episode_000004,pick_and_place,Pick up the cube and place it in the target location.,so101_episode_000004_agentview.mp4,data/rollouts/so101_episode_000004/so101_episode_000004_agentview.mp4,real_so101,true,2026-03-01T00:00:00Z,From lerobot/svla_so101_pickplace dataset,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/so101_episode_000004/so101_episode_000004_agentview.mp4
so101_episode_000005,pick_and_place,Pick up the cube and place it in the target location.,so101_episode_000005_agentview.mp4,data/rollouts/so101_episode_000005/so101_episode_000005_agentview.mp4,real_so101,true,2026-03-01T00:00:00Z,From lerobot/svla_so101_pickplace dataset,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/so101_episode_000005/so101_episode_000005_agentview.mp4
so101_episode_000006,pick_and_place,Pick up the cube and place it in the target location.,so101_episode_000006_agentview.mp4,data/rollouts/so101_episode_000006/so101_episode_000006_agentview.mp4,real_so101,true,2026-03-01T00:00:00Z,From lerobot/svla_so101_pickplace dataset,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/so101_episode_000006/so101_episode_000006_agentview.mp4
so101_episode_000007,pick_and_place,Pick up the cube and place it in the target location.,so101_episode_000007_agentview.mp4,data/rollouts/so101_episode_000007/so101_episode_000007_agentview.mp4,real_so101,true,2026-03-01T00:00:00Z,From lerobot/svla_so101_pickplace dataset,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/so101_episode_000007/so101_episode_000007_agentview.mp4
so101_episode_000008,pick_and_place,Pick up the cube and place it in the target location.,so101_episode_000008_agentview.mp4,data/rollouts/so101_episode_000008/so101_episode_000008_agentview.mp4,real_so101,true,2026-03-01T00:00:00Z,From lerobot/svla_so101_pickplace dataset,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/so101_episode_000008/so101_episode_000008_agentview.mp4
so101_episode_000009,pick_and_place,Pick up the cube and place it in the target location.,so101_episode_000009_agentview.mp4,data/rollouts/so101_episode_000009/so101_episode_000009_agentview.mp4,real_so101,true,2026-03-01T00:00:00Z,From lerobot/svla_so101_pickplace dataset,https://huggingface.co/datasets/nafisatibrahim/vlm-pref-videos/resolve/main/rollouts/so101_episode_000009/so101_episode_000009_agentview.mp4
